Data;Frase do usuário;Intenção;Confiabilidade;Status;Nova Intenção
2018-11-21 01:21:35 +00:00;agendar horario;Código de Disciplina;12.43%;Não analisado;
2018-11-21 01:21:13 +00:00;trancamento do semestre;Trancamento de Matrícula;84.59%;Não analisado;
2018-11-21 01:20:54 +00:00;perdi meu ra;Cartão Universitário;99.09%;Não analisado;
2018-11-21 01:20:28 +00:00;data de matricula;Alteração de Matrícula;45.04%;Não analisado;
2018-11-21 01:20:20 +00:00;qual e a data de matricula;Alteração de Matrícula;20.21%;Não analisado;
2018-11-21 01:20:06 +00:00;catalogo;Mudança de catálogo;99.93%;Não analisado;
2018-11-21 01:19:42 +00:00;o que e pif;Programa Integrado de Formação;83.16%;Não analisado;
2018-11-20 19:23:09 +00:00;mudanca de catalogo;Mudança de catálogo;99.86%;Não analisado;
2018-11-20 19:22:54 +00:00;o que e pif;Programa Integrado de Formação;83.16%;Não analisado;
2018-11-20 19:22:08 +00:00;calendario medicina;Calendário;92.26%;Não analisado;
2018-11-20 19:22:01 +00:00;data proficiencia de linguas;Teste de Proficiência;80.45%;Não analisado;
2018-11-20 19:21:46 +00:00;proficiencia de linguas;Teste de Proficiência;78.15%;Não analisado;
2018-11-20 13:28:07 +00:00;o que sao eletorias?;Eletivas;79.48%;Não analisado;
2018-11-20 13:26:59 +00:00;to com umas tretas com meu passe escolar;Passe Escolar;76.89%;Não analisado;
2018-11-20 13:26:22 +00:00;como funciona o trancamento de matricula?;Trancamento de Matrícula;91.85%;Não analisado;
2018-11-20 13:26:08 +00:00;trancamento de matricula;Trancamento de Matrícula;91.03%;Não analisado;
2018-11-20 13:25:17 +00:00;quero trancar uma materia;Desistência em Disciplina;98.57%;Não analisado;
2018-11-20 13:24:12 +00:00;perdi meu ra como prosseguir?;Cartão Universitário;70.14%;Não analisado;
2018-11-20 13:20:30 +00:00;perdi meu ra como prosseguir?;Cartão Universitário;70.14%;Não analisado;
2018-11-20 13:19:02 +00:00;fui jubilado o que fazer ?;Cancelamento de Matrícula;94.33%;Não analisado;
2018-11-20 13:16:16 +00:00;fui jubilado o que fazer?;Cancelamento de Matrícula;94.33%;Não analisado;
2018-11-20 13:13:37 +00:00;fui jubilado o que posso fazer?;Cancelamento de Matrícula;17.47%;Não analisado;
2018-11-20 13:13:04 +00:00;fui jubilado, salva nois;Documentos para Matrícula;5.10%;Reprovado;cancelamento_de_matricula
2018-11-20 13:12:44 +00:00;fui jubilado o que fazer?;Cancelamento de Matrícula;13.59%;Aprovado;
2018-11-20 13:12:10 +00:00;to sem grana e preciso de uma bolsa de estudo, me ajuda;Bolsas;66.87%;Não analisado;
2018-11-20 13:11:31 +00:00;preciso de bolsa de estudo;Bolsas;72.99%;Não analisado;
2018-11-20 13:11:11 +00:00;precisava de uma bolsa de estudo;Bolsas;37.62%;Não analisado;
2018-11-20 13:10:33 +00:00;como funciona o aproveitamento de estudos?;Aproveitamento de Estudos;91.51%;Não analisado;
2018-11-20 13:09:53 +00:00;como funciona o aproveitamento de estudos?;Aproveitamento de Estudos;91.51%;Não analisado;
2018-11-20 13:09:08 +00:00;perdi minha senha, me ajuda daquinho;Alteração de Senha;90.83%;Não analisado;
2018-11-20 13:08:33 +00:00;sou aluno especial e quero mais infos;Aluno Especial;95.11%;Não analisado;
2018-11-20 13:08:13 +00:00;sou aluno especial e quero mais informa;Aluno Especial;80.23%;Não analisado;
2018-11-20 13:07:46 +00:00;onde e minha sala de aula agora?;Alocação de Salas;90.81%;Não analisado;
2018-11-20 13:07:19 +00:00;onde e minha sala de aula?;Alocação de Salas;96.16%;Não analisado;
2018-11-20 13:07:02 +00:00;onde vai ser minha aula?;Alocação de Salas;37.92%;Não analisado;
2018-11-20 13:03:55 +00:00;onde encontro o site para acompanhar protocolo;Acompanhar Protocolo;90.89%;Não analisado;
2018-11-20 13:03:25 +00:00;quero acompanhar meus protocolos;Acompanhar Protocolo;57.63%;Aprovado;
2018-11-20 13:03:13 +00:00;como posso fazer pra acompanhar meus protocolos?;Acompanhar Protocolo;32.25%;Aprovado;
2018-11-20 13:02:07 +00:00;como faco para abonar minhas faltas?;Abono de Falta;94.44%;Não analisado;
2018-11-20 13:01:16 +00:00;como abono falta;Abono de Falta;94.78%;Não analisado;
2018-11-20 11:25:40 +00:00;oi xu tudo bem?;Intercâmbio;1.04%;Não analisado;
2018-11-20 11:25:30 +00:00;daczinho meu amor xuxu;Diploma;2.24%;Não analisado;
2018-11-20 11:25:16 +00:00;e ai daquinho;Código de Disciplina;2.78%;Não analisado;
2018-11-20 11:23:55 +00:00;link do calendario;Calendário;65.70%;Não analisado;
2018-11-20 11:23:48 +00:00;link do ccalendario;Ensino Aberto;9.78%;Não analisado;
2018-11-20 11:23:34 +00:00;quero aproveitar materias da graduacao no mestrado;Programa Integrado de Formação;90.27%;Não analisado;
2018-11-20 11:22:20 +00:00;quando e o periodo de matricula;Calendário;97.74%;Não analisado;
2018-11-20 11:20:45 +00:00;tchau;Código de Disciplina;44.95%;Não analisado;
2018-11-20 11:20:40 +00:00;oi;Código de Disciplina;44.87%;Não analisado;
2018-11-20 11:20:09 +00:00;qual o codigo a;Código de Disciplina;82.48%;Não analisado;
2018-11-20 11:19:33 +00:00;e;Código de Disciplina;92.42%;Não analisado;
2018-11-20 11:19:25 +00:00;a;Código de Disciplina;87.44%;Não analisado;
2018-11-20 11:19:18 +00:00;ma;Código de Disciplina;44.95%;Não analisado;
2018-11-20 11:19:11 +00:00;mc;Código de Disciplina;44.95%;Não analisado;
2018-11-20 11:18:51 +00:00;bom dia, quero saber mais sobre trancamento;Trancamento de Matrícula;48.30%;Aprovado;
2018-11-20 11:07:12 +00:00;u;Código de Disciplina;44.95%;Não analisado;
2018-11-20 11:07:04 +00:00;o;Ensino Aberto;80.17%;Não analisado;
2018-11-20 11:06:54 +00:00;i;Aluno Estrangeiro;86.59%;Não analisado;
2018-11-20 11:06:46 +00:00;e;Código de Disciplina;92.42%;Não analisado;
2018-11-20 11:06:15 +00:00;a;Código de Disciplina;87.44%;Não analisado;
2018-11-19 20:37:37 +00:00;tchau;Código de Disciplina;44.95%;Não analisado;
2018-11-19 20:35:43 +00:00;onde encontro o regimento geral?;Regimento Geral;99.12%;Não analisado;
2018-11-19 20:35:13 +00:00;me passa o regimento da unicamp;Regimento Geral;93.55%;Não analisado;
2018-11-19 20:35:01 +00:00;qual o regimento geral da unicamp?;Regimento Geral;99.47%;Não analisado;
2018-11-19 20:19:05 +00:00;oi;Código de Disciplina;44.87%;Não analisado;
2018-11-19 20:18:29 +00:00;oi;Código de Disciplina;44.87%;Não analisado;
2018-11-19 20:17:59 +00:00;como funciona abonar falta?;Abono de Falta;96.28%;Aprovado;
2018-11-18 23:51:06 +00:00;a;Código de Disciplina;87.44%;Deletado;
2018-11-18 23:50:49 +00:00;periodo de matricula;Calendário;90.96%;Não analisado;
2018-11-16 23:38:54 +00:00;o que e desistencia em disciplina?;Desistência em Disciplina;97.50%;Aprovado;
2018-11-16 23:38:37 +00:00;quero saber mais sobre o trancamento de matricula;Trancamento de Matrícula;86.00%;Aprovado;
2018-11-16 21:57:45 +00:00;como faco para trancar disciplina;Desistência em Disciplina;95.54%;Aprovado;
2018-11-16 21:57:35 +00:00;quero largar essa disciplina;Código de Disciplina;46.08%;Não analisado;
2018-11-16 21:57:13 +00:00;faltei muitas vezes, posso abonar?;Abono de Falta;98.51%;Aprovado;
2018-11-16 00:04:25 +00:00;como consigo uma bolsa;Bolsas;71.12%;Aprovado;
2018-11-16 00:04:02 +00:00;quais as bolsas oferecidas;Oferecimento de Disciplinas;8.53%;Não analisado;
2018-11-16 00:03:53 +00:00;quero conseguir uma bolsa;Bolsas;53.83%;Aprovado;
2018-11-16 00:03:41 +00:00;como consigo fazer o aproveitamento de estudos?;Aproveitamento de Estudos;94.90%;Aprovado;
2018-11-16 00:03:23 +00:00;quero mudar minha senha;Alteração de Senha;94.51%;Aprovado;
2018-11-16 00:03:10 +00:00;sou aluno especial e queria mais informacoes;Aluno Especial;96.13%;Aprovado;
2018-11-16 00:02:50 +00:00;quero saber a minha sala;Alocação de Salas;95.09%;Aprovado;
2018-11-16 00:02:40 +00:00;onde e minha aula;Alocação de Salas;56.28%;Aprovado;
2018-11-16 00:02:26 +00:00;eu queria acompanhar meu protocolo;Acompanhar Protocolo;97.26%;Aprovado;
2018-11-16 00:02:05 +00:00;tem como abonar falta?;Abono de Falta;95.15%;Não analisado;
2018-11-15 18:50:30 +00:00;tenho atestado, posso pedir abono ?;Abono de Falta;69.48%;Não analisado;
2018-11-15 18:50:03 +00:00;perdi muitas aulas, tenho atestado;Abono de Falta;96.86%;Não analisado;
2018-11-15 17:44:18 +00:00;onde acesso o moodle?;Ensino Aberto;89.78%;Não analisado;
2018-11-15 17:44:02 +00:00;queria resetar minha senha da unicamp;Alteração de Senha;61.16%;Não analisado;
2018-11-15 17:43:49 +00:00;perdi meu ra o que eu faco;Cartão Universitário;76.45%;Não analisado;
2018-11-15 17:43:19 +00:00;como faco pra entrar no profis?;ProFIS;93.81%;Não analisado;
2018-11-15 17:43:00 +00:00;fiquei doente vou reprovar por falta?;Abono de Falta;82.47%;Não analisado;
2018-11-15 14:00:54 +00:00;onde posso achar a grade completa do curso;Catálogos de Cursos;18.39%;Aprovado;
2018-11-15 14:00:42 +00:00;cade a grade curricular do meu curso;Catálogos de Cursos;94.50%;Aprovado;
2018-11-15 13:59:57 +00:00;onde acho mais informacoes sobre as materias do meu curso;Catálogos de Cursos;43.23%;Aprovado;
2018-11-15 13:59:38 +00:00;onde acho a grade curricular;Catálogos de Cursos;86.35%;Aprovado;
2018-11-15 13:59:20 +00:00;queria achar a grade curricular;Catálogos de Cursos;55.10%;Aprovado;
2018-11-15 13:58:47 +00:00;cade a grade completa do meu curso;Catálogos de Cursos;27.64%;Aprovado;
2018-11-15 13:56:47 +00:00;onde acho a grade curricular;Catálogos de Cursos;84.14%;Aprovado;
2018-11-15 13:56:27 +00:00;matricula ajuda nois;Alteração de Matrícula;15.19%;Reprovado;matricula_em_disciplinas
2018-11-15 13:56:21 +00:00;alteracao de matricula;Alteração de Matrícula;96.32%;Aprovado;
2018-11-15 13:56:11 +00:00;onde acho a grade curricular;Catálogos de Cursos;84.14%;Aprovado;
2018-11-15 13:55:53 +00:00;onde acho a grade curricular do meu curso;Catálogos de Cursos;95.28%;Aprovado;
2018-11-15 13:20:30 +00:00;o teleduc ainda existe?;Ensino Aberto;94.88%;Aprovado;
2018-11-15 13:20:14 +00:00;o que e o moodle?;Ensino Aberto;97.31%;Aprovado;
2018-11-15 13:19:55 +00:00;quero saber como usar o moodle;Ensino Aberto;54.38%;Aprovado;
2018-11-15 13:19:46 +00:00;como faz pra mudar modalidade do curso;Mudança de Ênfase do Curso;94.28%;Aprovado;
2018-11-15 13:19:38 +00:00;como faz pra mudar minha modalidade;Mudança de Ênfase do Curso;44.59%;Aprovado;
2018-11-15 13:17:15 +00:00;ajuda nois dac, quantas eletivas eu posso fazer;Eletivas;89.26%;Aprovado;
2018-11-15 13:16:59 +00:00;meu curso tem varias enfases como escolho?;Mudança de Ênfase do Curso;66.16%;Aprovado;
2018-11-15 13:16:23 +00:00;eu queria aprender bastante mas nao sei qual materia e essa;Eletivas;15.77%;Deletado;
2018-11-15 13:16:11 +00:00;qual professor que vai dar essa materia;Professores de Disciplina;96.95%;Aprovado;
2018-11-15 13:15:43 +00:00;me fala desse professor;Professores de Disciplina;52.99%;Aprovado;
2018-11-15 13:15:34 +00:00;qual a diferenca de eletiva e eletoria;Eletivas;96.62%;Aprovado;
2018-11-15 13:15:20 +00:00;quantos matriculados existem nessa materia;Matriculados por Disciplinas;99.54%;Aprovado;
2018-11-15 13:15:09 +00:00;e nois ;Código de Disciplina;15.22%;Deletado;
2018-11-15 13:14:59 +00:00;como vc chama;Intercâmbio;2.22%;Deletado;
2018-11-15 13:14:52 +00:00;quais as eletivas que posso fazer;Eletivas;97.86%;Aprovado;
2018-11-15 13:14:49 +00:00;ta;Código de Disciplina;45.57%;Não analisado;
2018-11-15 13:14:44 +00:00; oi ;Código de Disciplina;45.85%;Não analisado;
2018-11-15 13:14:39 +00:00;oi ;Código de Disciplina;45.85%;Não analisado;
2018-11-15 13:14:35 +00:00;oi;Código de Disciplina;45.85%;Não analisado;
2018-11-15 13:14:30 +00:00;morreee diabo;Código de Disciplina;4.95%;Deletado;
2018-11-15 13:14:20 +00:00;bou te quebrarrr;Aluno Estrangeiro;1.50%;Não analisado;
2018-11-15 13:14:16 +00:00;aaaaa;Código de Disciplina;45.85%;Não analisado;
2018-11-15 13:14:11 +00:00;amigo ;Código de Disciplina;45.85%;Não analisado;
2018-11-15 13:14:06 +00:00;para;Código de Disciplina;37.62%;Não analisado;
2018-11-15 13:14:01 +00:00;vc vc e foda;Intercâmbio;1.71%;Não analisado;
2018-11-15 13:13:45 +00:00;posso mudar a modalidade do meu curso?;Mudança de Ênfase do Curso;97.06%;Não analisado;
2018-11-15 13:13:43 +00:00;o que sao eletivas;Eletivas;98.10%;Não analisado;
2018-11-15 13:13:40 +00:00;o ensino aberto ta funfando? ;Ensino Aberto;90.79%;Aprovado;
2018-11-15 13:13:23 +00:00;como acesso o google classroom;Ensino Aberto;85.63%;Aprovado;
2018-11-15 13:13:11 +00:00;gostaria de comer bolacha;Alocação de Salas;1.66%;Deletado;
2018-11-15 13:13:10 +00:00;o que e o ensino aberto;Ensino Aberto;96.30%;Aprovado;
2018-11-15 13:12:36 +00:00;quero saber q professor vai dar a disciplina ms211;Professores de Disciplina;99.09%;Aprovado;
2018-11-15 13:12:28 +00:00;gostaria de acessar o teleduc;Ensino Aberto;92.30%;Aprovado;
2018-11-15 13:11:40 +00:00;testando essa porcaria;Código de Disciplina;11.35%;Deletado;
2018-11-14 18:15:59 +00:00;a matricula vai ser quando;Calendário;20.07%;Aprovado;
2018-11-14 18:15:20 +00:00;o que acontece se eu nao fiz matricula;Matrícula em Disciplinas;84.00%;Aprovado;
2018-11-14 18:15:04 +00:00;onde vejo as disciplinas que foram aceitas no meu peiddp de matricula;Matrícula em Disciplinas;75.76%;Aprovado;
2018-11-14 18:14:34 +00:00;onde faco pedido de matricula;Matrícula em Disciplinas;90.87%;Aprovado;
2018-11-14 18:14:26 +00:00;a matricula vai ser quando?;Cancelamento de Matrícula;16.03%;Reprovado;calendario
2018-11-14 18:14:06 +00:00;onde faco a matricula;Alteração de Matrícula;27.54%;Reprovado;matricula_em_disciplinas
2018-11-14 18:13:38 +00:00;como faco a matricula ;Alteração de Matrícula;42.41%;Reprovado;matricula_em_disciplinas
2018-11-14 18:13:25 +00:00;como faco pedido de matricula?;Matrícula em Disciplinas;77.64%;Aprovado;
2018-11-14 18:13:00 +00:00;quero ver o regimento geral;Regimento Geral;96.48%;Aprovado;
2018-11-14 18:12:46 +00:00;me passa o link do regimento geral;Regimento Geral;93.69%;Aprovado;
2018-11-14 18:12:37 +00:00;cade o regimento geral?;Regimento Geral;94.50%;Aprovado;
2018-11-14 18:12:21 +00:00;onde encontro o regimento geral da graduacao;Regimento Geral;99.16%;Aprovado;
2018-11-14 18:12:17 +00:00;onde que eu acho o regimento geral da unicamp;Regimento Geral;98.63%;Aprovado;
2018-11-14 18:12:06 +00:00;onde encontro regimento geral da pos;Regimento Geral;99.04%;Aprovado;
2018-11-14 18:12:05 +00:00;quero saber sobre o regimento ;Regimento Geral;64.89%;Aprovado;
2018-11-14 18:11:57 +00:00;onde encontro o regimento gdeal;Regimento Geral;90.94%;Aprovado;
2018-11-14 18:11:38 +00:00;onde encontro o regimento geral?;Regimento Geral;98.65%;Aprovado;
2018-11-14 18:10:57 +00:00;onde encontro o regimento geral;Intercâmbio;3.35%;Reprovado;regimento_geral_da_graduacao
2018-11-14 18:10:52 +00:00;quero saber do regimento ;Intercâmbio;3.79%;Não analisado;
2018-11-14 18:10:51 +00:00;onde encontro o regimento deral;Intercâmbio;3.05%;Não analisado;
2018-11-14 18:10:12 +00:00;onde encontro o regimento geral da pos graduacao;Intercâmbio;8.66%;Não analisado;
2018-11-14 18:09:59 +00:00;onde encontro o regimento geral da pos;Ementa de Disciplina;2.53%;Não analisado;
2018-11-14 18:09:49 +00:00;cade o regimento geral da pos;Aluno Estrangeiro;1.19%;Não analisado;
2018-11-14 17:54:33 +00:00;i'm gringo;Aluno Estrangeiro;95.36%;Aprovado;
2018-11-14 17:53:24 +00:00;foreign student help me;Aluno Estrangeiro;48.21%;Aprovado;
2018-11-14 17:53:15 +00:00;im from another country;Aluno Estrangeiro;12.42%;Aprovado;
2018-11-14 17:50:35 +00:00;sou aluno estrangeiro e tenho duvidas;Aluno Estrangeiro;98.35%;Aprovado;
2018-11-14 17:50:15 +00:00;o que eh cp;Integralização Curricular;74.97%;Aprovado;
2018-11-14 17:50:08 +00:00;queria ver a integralizacao;Integralização Curricular;88.57%;Aprovado;
2018-11-14 17:49:59 +00:00;onde acho a integralizacao;Integralização Curricular;95.41%;Aprovado;
2018-11-14 17:47:51 +00:00;o que e coeficiente de rendimento medio da turma;Turma Especial;24.22%;Reprovado;integralizacao_curricular
2018-11-14 17:47:41 +00:00;o que e coeficiente de rendimento padrao;Integralização Curricular;1.86%;Aprovado;
2018-11-14 17:47:28 +00:00;onde vejo minha integralizacao;Integralização Curricular;99.80%;Aprovado;
2018-11-14 17:47:21 +00:00;o que e projecao de integralizacao;Integralização Curricular;98.17%;Aprovado;
2018-11-14 17:47:11 +00:00;o que e cp;Integralização Curricular;65.60%;Aprovado;
2018-11-14 17:47:05 +00:00;o que e cr?;Integralização Curricular;81.65%;Aprovado;
2018-11-14 17:47:01 +00:00;o que e cpf na integralizacao;Integralização Curricular;98.10%;Aprovado;
2018-11-14 17:45:26 +00:00;o que e cpf na integralizacao;Integralização Curricular;98.01%;Aprovado;
2018-11-14 17:45:10 +00:00;sou gringo estou perdido;Aluno Estrangeiro;64.99%;Aprovado;
2018-11-14 17:44:53 +00:00;i'm foreign student;Aluno Estrangeiro;95.98%;Aprovado;
2018-11-14 17:44:11 +00:00;do hablo portugues;Aluno Estrangeiro;88.87%;Aprovado;
2018-11-14 17:43:59 +00:00;sou estrangeiro como tiro minhas duvidas?;Aluno Estrangeiro;92.55%;Aprovado;
2018-11-14 17:13:35 +00:00;o que e jubilamento?;Cancelamento de Matrícula;99.02%;Aprovado;
2018-11-14 17:13:10 +00:00;o que preciso fazer para pegar meu bilhete;Passe Escolar;74.64%;Aprovado;
2018-11-14 17:12:57 +00:00;o passe escolar eu pego como;Passe Escolar;98.25%;Aprovado;
2018-11-14 17:12:20 +00:00;como consigo meu bilhete universitario;Passe Escolar;97.53%;Aprovado;
2018-11-14 17:11:52 +00:00;fale mais sobre o remanejamento interno;Mudança de curso;58.74%;Aprovado;
2018-11-14 17:11:46 +00:00;queria mudar de curso;Mudança de curso;97.44%;Aprovado;
2018-11-14 17:11:21 +00:00;onde acho as solicitacoes diversas;Formulários;2.49%;Aprovado;
2018-11-14 17:11:07 +00:00;queria entregar alguns formularios mas nao estou achando;Formulários;94.98%;Aprovado;
2018-11-14 17:10:58 +00:00;que formularios eu preciso enviar;Formulários;88.29%;Aprovado;
2018-11-14 17:10:46 +00:00;pra quem devo entregar os formularios gerados pelo site;Formulários;95.80%;Aprovado;
2018-11-14 17:10:05 +00:00;cade o formulario de solicitacao diversas;Formulários;78.23%;Aprovado;
2018-11-14 17:09:55 +00:00;onde estao os formularios;Formulários;95.53%;Aprovado;
2018-11-14 17:09:37 +00:00;precisava achar um formulario no site;Formulários;54.09%;Aprovado;
2018-11-14 17:09:24 +00:00;onde encontro os formularios?;Formulários;96.96%;Aprovado;
2018-11-14 17:09:17 +00:00;onde encontro os formulares;Intercâmbio;4.43%;Reprovado;formularios
2018-11-14 17:09:11 +00:00;quais formularios preciso preencher?;Formulários;97.73%;Aprovado;
2018-11-14 17:09:05 +00:00;preciso dos formularios da dac;Formulários;95.19%;Aprovado;
2018-11-14 17:08:57 +00:00;onde encontro os formulario de solicitacoes diversos;Formulários;95.26%;Aprovado;
2018-11-14 17:08:26 +00:00;solicitar passe escolar;Passe Escolar;94.30%;Aprovado;
2018-11-14 17:08:18 +00:00;preciso de bilhete universitario;Passe Escolar;97.42%;Aprovado;
2018-11-14 17:08:10 +00:00;preciso do passe da emdec;Passe Escolar;88.99%;Aprovado;
2018-11-14 17:08:02 +00:00;preciso do passe da emdev;Passe Escolar;94.03%;Aprovado;
2018-11-14 17:07:55 +00:00;preciso do passe da transurc;Passe Escolar;98.14%;Aprovado;
2018-11-14 17:07:46 +00:00;preciso de passe de estudante;Passe Escolar;97.99%;Aprovado;
2018-11-14 17:04:40 +00:00;como cadastrar emdec;Passe Escolar;2.46%;Aprovado;
2018-11-14 17:04:32 +00:00;moro longe como cadastrar emdec;Passe Escolar;19.55%;Aprovado;
2018-11-14 17:04:22 +00:00;preciso de bilhete universitario;Passe Escolar;96.21%;Aprovado;
2018-11-14 17:04:15 +00:00;preciso de bilhete unico;Passe Escolar;73.42%;Aprovado;
2018-11-14 17:02:55 +00:00;preciso de bilhete universitario;Passe Escolar;96.17%;Aprovado;
2018-11-14 16:42:59 +00:00;o que fazer pra mudar de curso?;Mudança de curso;96.47%;Aprovado;
2018-11-14 16:42:42 +00:00;quero trocar de curso o que faco?;Mudança de curso;40.80%;Aprovado;
2018-11-14 16:42:30 +00:00;como funciona a mudanca de curso?;Mudança de curso;85.61%;Aprovado;
2018-11-14 16:42:04 +00:00;como funciona o remanejamento interno?;Mudança de curso;40.32%;Aprovado;
2018-11-14 16:41:07 +00:00;cansei do meu curso, posso trancar a matricula?;Trancamento de Matrícula;90.36%;Aprovado;
2018-11-14 16:40:54 +00:00;nao gostei do meu curso o que posso fazer;Mudança de curso;81.02%;Aprovado;
2018-11-14 16:40:47 +00:00;quais disciplinas no teste de proficiencia?;Teste de Proficiência;96.20%;Aprovado;
2018-11-14 16:40:46 +00:00;queria mudar de curso;Mudança de curso;97.77%;Aprovado;
2018-11-14 16:40:37 +00:00;onde vejo as disciplinas oferecidas no teste de proficiencia?;Teste de Proficiência;97.06%;Aprovado;
2018-11-14 16:40:34 +00:00;onde consigo mais informacoes sobre o teste de proficiencia;Teste de Proficiência;98.70%;Aprovado;
2018-11-14 16:40:18 +00:00;quantos testes de proficiencia posso fazer?;Teste de Proficiência;88.70%;Aprovado;
2018-11-14 16:40:15 +00:00;eu fiz uma materia em outra facul como posso pegar proficiencia?;Teste de Proficiência;97.65%;Aprovado;
2018-11-14 16:40:05 +00:00;qm pode pedir teste de proficiencia?;Teste de Proficiência;95.82%;Aprovado;
2018-11-14 16:39:42 +00:00;como pedir mudanca de curso?;Mudança de curso;89.69%;Aprovado;
2018-11-14 16:39:24 +00:00;nao gosto do meu curso, posso mudar?;Mudança de curso;85.58%;Aprovado;
2018-11-14 16:39:21 +00:00;queria saber mais sobre o teste de proficiencia vc pode me ajudar?;Teste de Proficiência;98.98%;Aprovado;
2018-11-14 16:39:17 +00:00;como faco para mudar de curso?;Mudança de curso;95.94%;Aprovado;
2018-11-14 16:38:24 +00:00;o que eh remanejamento interno?;Mudança de curso;64.60%;Aprovado;
2018-11-14 16:38:09 +00:00;o que e o remanejamento interno?;Mudança de curso;57.66%;Aprovado;
2018-11-14 16:38:00 +00:00;como faco pra mudar de curso?;Mudança de curso;95.13%;Aprovado;
2018-11-14 16:37:52 +00:00;eu posso mudar de curso?;Mudança de curso;93.28%;Aprovado;
2018-11-14 16:17:27 +00:00;quantas vezes posso trancar matricula?;Trancamento de Matrícula;96.56%;Aprovado;
2018-11-14 16:17:20 +00:00;qual o limite de trancamentos?;Calendário;2.39%;Reprovado;trancamento_de_matricula
2018-11-14 16:17:11 +00:00;sou ingressante posso trancar matricula?;Trancamento de Matrícula;96.45%;Aprovado;
2018-11-14 16:17:02 +00:00;sou ingressante posso trancar o semestre?;Trancamento de Matrícula;92.30%;Aprovado;
2018-11-14 16:16:02 +00:00;quem pode trancar matricula?;Trancamento de Matrícula;94.71%;Aprovado;
2018-11-11 22:34:29 +00:00;aluno especial na unicamp;Aluno Especial;97.08%;Aprovado;
2018-11-11 22:33:59 +00:00;o que e jubilar?;Cancelamento de Matrícula;95.39%;Aprovado;
2018-11-11 22:33:49 +00:00;oi quero mais informacoes sobre jubilamento;Jubilamento;50.87%;Aprovado;
